fico_score,income,debt_to_income,num_open_trades,utilization_rate,inquiries_last_6m,loan_amount,term,apr,channel,product_type,employment_length,state,age,default_12m
607,26556,0.59,7,0.22,1,45348,60,7.61,Direct,Personal,32,TX,59,0
553,61853,0.56,10,0.28,3,23059,36,7.78,Direct,Auto,2,IL,67,0
735,171349,0.15,2,0.05,3,19965,36,30.66,Mail,Debt_Consolidation,23,NY,31,0
675,62834,0.37,8,0.99,10,46099,60,11.59,Direct,Auto,2,CA,72,1
711,75738,0.52,12,0.88,10,31071,36,12.95,Direct,Home_Improvement,37,TX,48,1
606,60066,0.5,13,0.6,6,26009,60,34.88,Partner,Business,0,Other,64,0
607,96939,0.35,14,0.0,4,33806,36,20.23,Direct,Home_Improvement,32,Other,59,1
800,25105,0.09,11,0.88,4,16692,36,12.23,Partner,Personal,4,GA,69,0
820,179014,0.34,6,0.93,,47723,36,16.97,Partner,Debt_Consolidation,28,Other,28,1
580,80015,0.05,1,0.86,1,34695,36,13.35,Direct,Debt_Consolidation,36,GA,57,0
770,112876,0.34,14,0.86,0,45129,36,6.82,Partner,Auto,12,CA,33,0
831,45666,0.04,17,0.84,1,16491,36,17.19,Direct,Auto,10,Other,45,1
834,193505,0.57,4,0.19,3,4832,60,27.07,Direct,Debt_Consolidation,30,CA,53,1
670,125847,0.1,18,0.25,9,3604,60,7.46,Partner,Home_Improvement,16,FL,34,0
784,102883,0.74,2,0.01,9,37896,36,7.2,Direct,Personal,4,Other,36,0
554,195076,0.65,9,0.93,1,9800,36,8.46,Direct,Home_Improvement,38,FL,34,0
576,44195,0.51,8,0.04,5,9573,36,9.85,Direct,Home_Improvement,7,IL,25,1
571,100808,0.29,1,0.9,3,45699,36,25.01,Direct,Home_Improvement,39,Other,68,1
761,26497,0.14,10,0.78,6,44903,36,13.0,Partner,Personal,30,Other,35,0
754,106051,0.22,2,0.97,4,24012,60,16.99,Mail,Debt_Consolidation,7,Other,37,1
710,134398,0.48,16,0.12,9,13457,36,6.33,Direct,Debt_Consolidation,12,MI,44,0
809,101077,0.53,10,0.4,4,37333,36,10.76,Partner,Debt_Consolidation,11,NC,60,0
846,179032,0.52,14,0.44,10,15005,60,19.2,Mail,Auto,5,TX,39,0
651,58627,,7,0.98,9,5772,60,17.43,Partner,Personal,31,GA,46,1
604,131449,0.18,16,0.46,8,17331,36,18.69,Partner,Home_Improvement,38,Other,41,0
631,144433,0.36,7,0.84,4,35163,60,23.8,Direct,Personal,17,FL,42,0
659,36837,0.33,10,0.54,6,5080,36,29.99,Direct,Auto,1,Other,75,0
764,161091,0.6,17,0.8,3,32996,36,13.19,Direct,Debt_Consolidation,25,OH,67,1
751,175161,0.45,0,0.08,6,9893,60,10.45,Direct,Debt_Consolidation,21,NY,69,0
576,111740,0.18,2,0.78,10,3638,36,33.49,Direct,Personal,8,TX,51,0
635,178831,0.49,3,0.78,2,21384,36,22.36,Mail,Home_Improvement,24,Other,46,0
611,168355,0.63,11,0.53,10,25285,36,20.18,Direct,Auto,6,MI,48,0
817,190513,0.22,17,0.77,7,29545,60,13.05,Mail,Auto,28,CA,36,0
731,87725,0.27,19,0.7,4,37424,36,20.5,Direct,Personal,35,NY,69,0
700,78090,0.32,7,0.31,9,25184,60,21.6,Direct,Business,22,IL,65,1
644,70211,0.17,15,0.28,9,35382,60,13.49,Direct,Personal,11,TX,40,1
614,187213,0.69,15,0.1,0,38621,36,19.08,Direct,Personal,30,CA,28,1
705,42329,0.8,3,0.56,6,40735,60,28.72,Direct,Debt_Consolidation,28,NY,40,0
600,74470,0.5,8,0.66,2,16719,36,21.56,Direct,Debt_Consolidation,30,GA,39,1
651,131447,0.09,7,0.65,4,10321,36,6.79,Partner,Home_Improvement,18,MI,49,1
802,134755,0.06,1,0.89,5,40564,36,5.78,Direct,Home_Improvement,37,Other,22,1
692,67576,0.8,13,0.63,7,6979,60,15.44,Direct,Home_Improvement,21,Other,47,0
782,43084,0.25,10,0.12,6,34724,36,24.73,Partner,Debt_Consolidation,23,TX,60,0
798,51831,0.02,20,0.61,3,47516,36,14.32,Direct,Debt_Consolidation,7,TX,50,0
689,128918,0.67,15,0.24,,10479,36,10.72,Partner,Home_Improvement,4,CA,38,0
850,172023,0.8,15,0.87,7,36296,60,15.35,Partner,Debt_Consolidation,20,NY,33,0
712,143987,0.56,12,0.39,10,43730,36,19.86,Direct,Debt_Consolidation,6,IL,75,0
790,89474,0.27,12,0.65,5,45194,60,16.4,Direct,Home_Improvement,34,NC,23,0
596,133763,0.78,20,0.7,1,30076,36,25.82,Mail,Personal,18,MI,43,0
745,182453,0.55,15,0.91,2,16216,60,24.14,Direct,Home_Improvement,29,Other,39,0
767,85561,0.37,9,0.2,6,32667,36,12.12,Partner,Home_Improvement,18,Other,22,1
804,95024,0.62,7,0.61,5,15352,36,23.63,Partner,Home_Improvement,8,OH,61,1
736,54448,0.07,9,0.33,6,12510,36,8.96,Partner,Business,17,PA,74,0
789,39739,0.11,7,0.86,10,27044,60,15.97,Partner,Personal,29,PA,44,0
605,196904,0.19,0,0.62,8,22496,60,11.64,Direct,Auto,19,Other,62,0
619,121881,0.36,17,0.42,2,28189,36,30.01,Partner,Business,23,FL,34,0
828,189037,0.29,12,0.28,1,30800,36,24.88,Partner,Home_Improvement,21,CA,36,1
669,106129,0.62,19,0.0,2,9519,60,12.52,Direct,Home_Improvement,0,CA,43,0
765,157910,0.09,2,0.48,5,34635,60,8.27,Partner,Business,33,CA,40,1
777,39265,0.72,10,0.61,1,9270,36,23.73,Partner,Home_Improvement,38,NY,54,1
832,76367,0.34,7,0.41,7,27131,36,26.89,Direct,Debt_Consolidation,9,TX,64,0
834,35723,0.47,17,0.56,10,9010,36,15.61,Partner,Auto,3,Other,39,0
664,48368,0.28,17,0.37,4,38624,36,29.22,Partner,Business,39,MI,64,0
708,109082,0.28,5,0.87,9,44079,36,7.09,Partner,Business,33,CA,34,0
840,176296,0.07,1,0.16,9,4261,36,13.16,Partner,Debt_Consolidation,17,NY,34,0
573,77807,0.32,19,0.05,3,20753,36,28.02,Partner,Personal,31,CA,68,0
731,38894,0.32,1,0.44,7,6102,36,22.27,Partner,Home_Improvement,7,NY,46,0
604,83783,0.35,12,0.52,6,21334,36,11.65,Partner,Personal,33,OH,53,1
625,81936,0.08,8,0.2,9,11018,36,10.31,Partner,Debt_Consolidation,37,NC,49,0
775,37900,0.38,20,0.3,4,39759,36,15.56,Direct,Debt_Consolidation,23,CA,74,0
746,141297,0.46,1,0.45,9,43718,36,14.65,Direct,Personal,6,CA,72,0
774,157381,0.42,5,0.36,4,26389,36,28.23,Partner,Personal,21,OH,25,0
626,107388,0.07,4,0.92,4,43995,36,8.87,Partner,Personal,21,IL,73,0
810,114851,0.01,9,0.18,3,23395,60,10.76,Mail,Personal,6,FL,53,0
617,176564,0.3,5,0.18,9,11848,60,6.31,Direct,Home_Improvement,39,Other,39,1
649,116427,0.54,18,0.98,7,19466,36,20.09,Direct,Personal,38,TX,29,0
814,52683,0.23,5,0.27,8,10656,36,7.75,Mail,Auto,1,Other,47,1
721,58285,0.11,9,0.92,7,46617,36,27.77,Direct,Home_Improvement,1,Other,37,1
697,82295,0.24,1,0.24,10,41816,60,6.88,Partner,Debt_Consolidation,,PA,53,0
593,157228,0.78,2,0.95,8,34248,60,21.62,Direct,Debt_Consolidation,23,OH,37,0
603,172542,0.59,10,0.13,5,36783,36,29.41,Direct,Auto,30,NY,61,0
571,102731,0.75,16,0.4,8,32024,36,6.1,Partner,Personal,3,Other,62,1
747,108876,0.78,15,0.69,5,35031,36,29.03,Partner,Personal,11,IL,55,1
777,112155,0.36,11,0.61,6,18993,36,7.25,Partner,Debt_Consolidation,10,MI,22,1
737,114935,0.31,18,0.03,2,45503,60,33.46,Direct,Auto,33,IL,44,0
837,50870,0.21,8,0.7,3,41099,36,25.82,Mail,Personal,4,CA,49,1
713,195070,0.28,2,0.55,4,20657,36,26.35,Mail,Home_Improvement,32,MI,35,1
832,54018,0.49,2,0.07,6,47984,60,20.77,Partner,Auto,20,CA,62,1
832,187718,0.47,4,0.43,0,9137,60,9.59,Direct,Debt_Consolidation,22,GA,54,1
823,44491,0.4,5,0.59,9,11105,36,24.76,Partner,Home_Improvement,36,Other,23,0
657,169982,0.33,20,0.03,10,36754,36,24.26,Direct,Personal,25,MI,40,1
713,110536,0.78,4,0.76,8,37808,36,14.57,Direct,Personal,6,TX,24,1
631,105835,0.75,10,0.19,2,33654,60,19.0,Mail,Debt_Consolidation,25,CA,53,0
